Group_ID,Video_Index,Room,Session,Performer,Video_Name
1073,2,62291325274760100,62291304167519900,29998950421224700,62291304167519952-29998950421224725r1471325129.m3u8.mp4
1073,3,62291325274760100,62291304167519900,29998950421224700,62291304167519952-29998950421224725r1471327096.m3u8.mp4
1074,1,62292308077785300,62292295556274300,52333209270099800,62292295556274345-52333209270099838r1471325315.m3u8.mp4
1075,1,62293467106583500,62293461090440300,35552146497689300,62293461090440358-35552146497689326r1471325871.m3u8.mp4
1075,2,62293467106583500,62293461090440300,35552146497689300,62293461090440358-35552146497689326r1471326200.m3u8.mp4
1076,1,62295426431657000,62295425715018400,53782875536890400,62295425715018497-53782875536890474r1471326808.m3u8.mp4
1077,1,62296263738462700,62296263237846700,25514913254267500,62296263237846780-25514913254267592r1471327207.m3u8.mp4
1078,1,62298265379869200,62298264958932700,25514913254267500,62298264958932717-25514913254267592r1471328162.m3u8.mp4
1079,1,62299623510184500,62299623085052600,25514913254267500,62299623085052607-25514913254267592r1471328809.m3u8.mp4
1080,1,62302732932293700,62302732612017400,51663525071820900,62302732612017402-51663525071820946r1471330292.m3u8.mp4
1081,1,62303072740123700,62303068223445200,18687908944437300,62303068223445231-18687908944437327r1471330452.m3u8.mp4
1082,1,62306059881489500,62306046483385200,46469983256974000,62306046483385201-46469983256974041r1471331872.m3u8.mp4
1082,2,62306059881489500,62306046483385200,46469983256974000,62306046483385201-46469983256974041r1471333840.m3u8.mp4
1083,1,62306746688283800,62306746118453000,53782875536890400,62306746118453033-53782875536890474r1471332206.m3u8.mp4
1084,1,62307660182532400,62307653654682400,31131810794463100,62307653654682432-31131810794463145r1471332639.m3u8.mp4
1084,2,62307660182532400,62307653654682400,31131810794463100,62307653654682432-31131810794463145r1471332652.m3u8.mp4
1084,3,62307660182532400,62307653654682400,31131810794463100,62307653654682432-31131810794463145r1471333447.m3u8.mp4
1085,1,62307675797926200,62307651268122400,50723234246563800,62307651268122408-50723234246563853r1471332638.m3u8.mp4
1086,1,62308129416098100,62308125646015300,55586103205305700,62308125646015360-55586103205305764r1471332864.m3u8.mp4
1087,1,62309624414938300,62309624189032700,51663525071820900,62309624189032718-51663525071820946r1471333578.m3u8.mp4
1088,1,62309642968442000,62309639152222500,55586103205305700,62309639152222575-55586103205305764r1471333585.m3u8.mp4
1089,1,62309776919831700,62309767539858700,54173263735042100,62309767539858734-54173263735042125r1471333647.m3u8.mp4
1090,1,62310438093132500,62310433651967800,31131810794463100,62310433651967817-31131810794463145r1471333964.m3u8.mp4
1090,2,62310438093132500,62310433651967800,31131810794463100,62310433651967817-31131810794463145r1471334088.m3u8.mp4
